Cereais;C;S;F;R
Apple Jacks;120;15;0,5;28
Berry Burst Cheerios;100;8;1;22
Cheerios;100;1;2;20
Cocoa Puffs;110;12;1,5;23
Cookie Crisp;100;11;1;22
Corn Chex;120;3;0,5;26
Corn Flakes;100;2;0;24
Corn Pops;120;14;0;28
Count Chocula;110;14;1;23
Crispix;110;3;0;25
Froot Loops;120;13;1;26
Frosted Flakes;110;11;0;27
Honey Nut Cheerios;110;9;1,5;22
Lucky Charms;110;11;1;22
Multi Grain Cheerios;110;6;1;23
Product 19;100;4;0;28
Raisin Bran;190;19;1,5;45
Rice Krispies;120;3;0;29
Special K;120;4;0,5;22
Trix;120;13;1,5;28
Wheaties;100;4;0,5;22
